,ALink,SName,SLink,Lyric,Idiom
0,/10000-maniacs/,,/10000-maniacs/more-than-this.html,could feel way knowing fallen leaf night say theyre blowing free wind hopefully learning sea tide way turning there nothing tell one thing there nothing fun way knowing dream night say going care world maybe learning sea tide way turning there nothing tell one thing there nothing there nothing tell one thing there nothing,ENGLISH
1,/10000-maniacs/,night,/10000-maniacs/because-the-night.html,take baby hold close try understand desire hunger fire breathe love banquet feed try understand way feel command take hand sun descends cant hurt cant hurt cant hurt night belongs lover night belongs u night belongs lover cause night belongs u doubt baby alone love ring telephone love angel disguised lust bed til morning try understand way feel command take hand sun descends cant hurt cant hurt cant hurt night belongs lover night belongs u night belongs lover night belongs u love sleep doubt vicious circle turn burn without oh cannot live forgive yearning burning believe heal feel take take take night belongs lover night belongs u night belongs lover night belongs u,ENGLISH
2,/10000-maniacs/,days,/10000-maniacs/these-are-days.html,day youll remember never never since promise whole world warm feel youll true blessed lucky true touched something grow bloom day youll remember may rushing desire part miracle see every hour youll true blessed lucky true touched something grow bloom day day might fill laughter break day might feel shaft light make way across face youll meant see sign meaning youll meant hear sign theyre speaking,ENGLISH
3,/10000-maniacs/,campfire song,/10000-maniacs/a-campfire-song.html,lie say mountain coal vein bed dig men ax dig lie ssay river mant fish swim half catch mine haul net never believe greed blinding ray devil redeemer cheat hell take gold he lying cold lie say mine gave diamond big fist every gem pocket jewel missed lie say garden growing taller day eats best toss rest away never believe greed blinding ray devil redeemer cheat hell take gold he lying cold six deep grave something reach something wanted something reach he taunted something reach beg steal buy oldest pain fear life therell oldest pain fear life therell lie say forest tree block sun cut answer anyone never believe greed blinding ray devil redeemer cheat hell take gold he lying cold,ENGLISH
4,/10000-maniacs/,everyday like sunday,/10000-maniacs/everyday-is-like-sunday.html,trudging slowly wet sand back bench clothes stolen coastal town forgot close armagedon armagedon armagedon everyday sunday everyday silent grey hide promanade etch post card dearly wish seaside town forgot bomb nuclear bomb everyday sunday everyday silent grey trudging back pebble sand strange dust land hand face everyday sunday win cheap tray share grease tea everyday silent grey,ENGLISH
5,/10000-maniacs/,dont talk,/10000-maniacs/dont-talk.html,talk listen talk keep distance id rather hear truth tonight entertain lie take poison silently let let close eye talk ill believe talk listen instead think long enough hard drink drown trouble trouble talk talk talk talk care talk tilt bottle air tossing back share talk guess talk well restless need somewhere put blame feel inside youll look close easy mark youll see fair game talk talk talk talk care talk tilt bottle air tossing back share talk talk talk talk care marking every word tell sure talk finest heard talk ill sleeping let dreaming eye glow fiercely tell inspired name chose never mind talk talk talk head clear ill discus morning may talk wont hear,ENGLISH
6,/10000-maniacs/,across fields,/10000-maniacs/across-the-fields.html,well left morning hundred pair wing light moved together color morning looked cloud cirrus sky theyd gone across marsh across field fell vine hoped would catch take tell part shinesin heart wind reed blew morning take along place youve gone eye looked away tell song sing tree dawning tell part shine heart ray love forever please take,ENGLISH
7,/10000-maniacs/,planned obsolescence,/10000-maniacs/planned-obsolescence.html,music dennis drewlyric natalie merchant science truth life watch religion fall obsolete science truth life technology nature science truth life fortran tongue answer wealth prominence man near perfection possession absence interim secure demurrer defense divine defense true image human conflict number five discovery dissolved illusion mystery destroyed conclusion illusion never restored modern man see religion obsolete piety obsolete ritual obsolete martyrdom obsolete prophetic vision obsolete mysticism obsolete commitment obsolete sacrament obsolete revelation obsolete,ENGLISH
8,/10000-maniacs/,rainy day,/10000-maniacs/rainy-day.html,bended kneeive looked every window touched bottom night sleepless day instead day love camecame easy whats lost found beneath blinding light would surround without doubt saving rainy day crashed mirror crashed floor laughter blind scene tie would moor u room day love came came easy whats lost found would save held child defiant alone upon troubled way would send heart save rainy day,ENGLISH
9,/10000-maniacs/,anthem doomed youth,/10000-maniacs/anthem-for-doomed-youth.html,bell toll sentenced die stuttering rifle stifle cry monstrous anger fear rapid rattle desert inferno kid dying cattle tell prepared ive seen today marine he eighteen he eager quite mean mockries prayer bell demented choir wailing shell boy holding candle untraveled road fear spread fire shrapnel explodes think wrong conscript youth plenty citizenry really kill sign post lead armageddon fire bugle call crowded grey shire woman sit quiet death mind slow dusk descending drawing blind make hunter line idea fun let forgiven never owned gun wailing dead laughing soldier cast lot cut dread,ENGLISH
